740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
11530,-5926,-12560,-1103,-161,-401,200,-142,-352
9809,-5248,-13332,-1834,-60,277,195,-143,-347
18964,-2465,-18147,-2595,-354,426,202,-142,-344
14389,-45,-18460,-2806,-1346,-1610,202,-136,-340
10852,3326,-18904,-3839,-2608,-3881,190,-130,-358
10374,-3075,-17124,-4690,-1160,-4304,177,-143,-375
9364,-10558,-27284,-3952,1974,-2765,163,-141,-365
9204,-5755,-29943,-1897,444,-1058,160,-146,-368
8133,-1652,-28901,-1425,-1151,-87,150,-154,-364
8291,1448,-26582,-1401,-2330,394,150,-154,-364
18350,941,-518,-493,-1680,248,145,-143,-377
20204,-1809,-11839,329,2615,-663,152,-148,-362
16804,405,-14097,765,4376,-1253,143,-153,-351
17915,3693,-14974,871,5016,-1889,148,-146,-342
17623,5031,-13413,705,5764,-3101,136,-156,-326
19608,3451,-14095,231,7300,-3883,122,-158,-304
19796,2746,-18179,741,8028,-3620,108,-168,-282
19281,6617,-14918,830,6267,-2318,104,-158,-264
18240,4308,-14477,329,4374,-1636,111,-167,-263
17150,4657,-12701,48,2852,-668,106,-162,-250
16290,3959,-11743,-43,2094,-185,101,-157,-251
14926,3755,-9837,-53,1671,188,107,-167,-239
13227,3147,-7893,-100,1459,344,107,-163,-247
11642,2723,-6598,-137,1424,401,112,-160,-246
10408,1276,-6861,-163,1232,465,116,-166,-224
9731,813,-6308,-257,690,638,117,-157,-229
9265,250,-5940,-315,204,727,113,-153,-235
9040,-181,-5728,-322,-115,801,121,-167,-235
8963,-313,-5422,-303,-411,873,109,-163,-231
9036,-391,-4679,-259,-547,865,115,-153,-235
9292,-424,-3395,-186,-381,788,115,-155,-231
9223,-584,-3141,-105,44,640,123,-161,-241
9071,-885,-3169,-50,458,503,123,-161,-235
8802,-1069,-3294,-32,671,402,124,-156,-228
9146,-1268,-3219,-74,573,324,128,-162,-234
9349,-1277,-2479,-71,629,249,131,-161,-235
9547,-1379,-3758,-72,740,177,122,-162,-230
9844,-1712,-4409,-101,476,176,130,-166,-220
9805,-1892,-4936,-92,248,178,137,-151,-221
9939,-2142,-5592,-85,98,150,131,-155,-227
10258,-1994,-5923,-74,-170,127,134,-160,-226
10890,-1691,-6070,-86,-419,94,129,-153,-229
11453,-1469,-6076,-128,-587,56,125,-151,-229
12034,-1210,-5971,-180,-651,28,136,-158,-226
12552,-955,-5987,-223,-541,-19,129,-167,-231
13240,-703,-5896,-251,-302,-73,129,-157,-231
13965,-446,-6149,-248,19,-145,131,-161,-235
14160,-279,-6463,-236,191,-187,127,-159,-227
14366,-200,-6312,-235,51,-183,130,-156,-228
14665,14,-6100,-229,-103,-166,128,-164,-228
15531,249,-5922,-220,-118,-133,129,-163,-227
16137,315,-6687,-204,-98,-77,131,-163,-231
15601,-191,-8685,-302,215,-3,126,-154,-238
15708,-379,-9840,-265,341,-47,138,-162,-234
16048,-516,-10190,-214,129,-13,132,-162,-234
16148,-452,-9995,-153,-129,57,137,-163,-227
16119,-588,-9905,-117,-403,125,134,-164,-232
16132,-851,-9056,-101,-540,184,134,-160,-234
15805,-1156,-9308,-44,-387,210,133,-151,-241
15327,-1383,-8690,-6,-250,205,137,-153,-239
14933,-1655,-8843,11,-84,159,145,-157,-231
14889,-1786,-8919,-4,-92,119,135,-165,-233
14957,-2024,-8895,3,-106,96,134,-156,-234
15000,-2133,-8490,40,-108,93,143,-157,-237
14828,-2311,-8122,85,-155,89,134,-158,-232
14837,-2334,-7333,99,-258,93,134,-158,-236
14900,-2358,-6866,87,-291,94,129,-159,-239
15072,-2318,-6727,56,-349,103,127,-157,-241
15413,-2327,-6672,24,-400,127,137,-163,-237
15425,-2397,-6681,16,-342,125,129,-169,-243
15395,-2434,-7207,8,-285,113,132,-164,-234
15434,-2506,-7799,-11,-325,112,138,-166,-246
15640,-2445,-8508,-11,-245,85,133,-167,-239
15801,-2369,-9283,-4,-178,55,143,-163,-237
15967,-2284,-9857,4,-144,48,148,-162,-246
16042,-2233,-10320,29,-158,48,138,-166,-248
16154,-2159,-10575,58,-220,57,136,-156,-246
16238,-2028,-10440,99,-166,64,143,-165,-243
16327,-1931,-10322,116,-143,69,136,-164,-248
16474,-1837,-9769,119,-152,82,141,-165,-253
16293,-1703,-9405,122,-116,86,138,-162,-238
